State,County,Population,Poverty Count,Hispanic or Latino,White Alone,JobsReported
MO,Lawrence,20714.0,3655.0,650.0,19967.0,303
MO,Lewis,11135.0,1462.0,165.0,10591.0,80
MO,Lincoln,52507.0,6965.0,1094.0,49757.0,710
MO,Linn,10267.0,1557.0,170.0,9846.0,184
MO,Livingston,14679.0,2396.0,198.0,14000.0,186
MO,Macon,15642.0,2505.0,166.0,14871.0,94
MO,Madison,12821.0,2624.0,240.0,12580.0,159
MO,Maries,7275.0,1286.0,36.0,7075.0,79
MO,Marion,29594.0,4584.0,414.0,27152.0,331
MO,McDonald,23156.0,5070.0,2746.0,20739.0,190
MO,Mercer,3978.0,824.0,45.0,3894.0,55
MO,Miller,22002.0,4566.0,345.0,21263.0,367
MO,Mississippi,14640.0,3573.0,253.0,10996.0,252
MO,Moniteau,14533.0,1501.0,630.0,13554.0,223
MO,Monroe,5696.0,758.0,43.0,5498.0,68
MO,Montgomery,12231.0,1986.0,182.0,11803.0,188
MO,Morgan,21234.0,4905.0,376.0,20467.0,307
MO,New Madrid,16022.0,3650.0,191.0,13158.0,204
MO,Newton,77176.0,11951.0,3731.0,69448.0,1112
MO,Nodaway,23357.0,5713.0,448.0,22187.0,314
MO,Oregon,10449.0,2916.0,147.0,10036.0,151
MO,Osage,11877.0,874.0,83.0,11780.0,269
MO,Ozark,9435.0,1794.0,129.0,9186.0,126
MO,Pemiscot,17763.0,5148.0,349.0,12453.0,196
MO,Perry,18525.0,2242.0,352.0,18067.0,334
MO,Pettis,41210.0,7562.0,3194.0,37434.0,503
MO,Phelps,47018.0,7785.0,956.0,42999.0,562
MO,Pike,18351.0,2323.0,355.0,16543.0,234
MO,Platte,89997.0,6685.0,4692.0,78324.0,1527
MO,Polk,31551.0,7023.0,746.0,30461.0,417
MO,Pulaski,56337.0,5915.0,5085.0,44273.0,336
MO,Putnam,4817.0,912.0,42.0,4710.0,91
MO,Ralls,11024.0,1302.0,116.0,10395.0,150
MO,Randolph,26169.0,4669.0,431.0,23903.0,263
MO,Ray,19629.0,2289.0,427.0,18895.0,209
MO,Reynolds,6290.0,1527.0,104.0,6107.0,67
MO,Ripley,14205.0,3481.0,154.0,13758.0,190
MO,Saint Charles,366738.0,20801.0,10543.0,332840.0,5373
MO,Saint Clair,8253.0,1833.0,149.0,7906.0,141
MO,Saint Francois,67703.0,11361.0,810.0,63396.0,567
MO,Saint Louis,1031314.0,111289.0,26292.0,728983.0,18792
MO,Saint Louis City,308033.0,82928.0,11102.0,137044.0,4594
MO,Saline,23787.0,4084.0,2030.0,20360.0,297
MO,Schuyler,3929.0,953.0,8.0,3856.0,51
MO,Scotland,4689.0,783.0,75.0,4623.0,58
MO,Scott,42830.0,7698.0,802.0,36873.0,856
MO,Shannon,6999.0,1710.0,149.0,6877.0,75
MO,Shelby,6649.0,1152.0,50.0,6513.0,125
MO,Ste Genevieve,15660.0,1810.0,158.0,15223.0,233
MO,Stoddard,30649.0,4462.0,393.0,29803.0,552
MO,Stone,31596.0,5753.0,496.0,29130.0,484
MO,Sullivan,6919.0,1089.0,1193.0,6419.0,77
MO,Taney,53208.0,9434.0,2670.0,49498.0,1133
MO,Texas,24152.0,4563.0,462.0,22261.0,188
MO,Vernon,20733.0,4034.0,414.0,19993.0,324
MO,Warren,31601.0,4562.0,957.0,29743.0,332
MO,Washington,22909.0,5372.0,191.0,21857.0,108
MO,Wayne,13956.0,2881.0,145.0,13584.0,156
MO,Webster,31736.0,5918.0,605.0,30452.0,431
MO,Worth,2206.0,273.0,23.0,2185.0,30
MO,Wright,21466.0,5680.0,296.0,20792.0,303
