Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Not Hispanic or Latino,Hispanic or Latino,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Two or More Races Including Some Other Race,"Two or More Races Excluding Some Other Race, and Three or More Races"
18347,2397.0,49.3,51638.0,27940.0,473.0,19.73299958281185,2236.0,161.0,2160.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,237.0
18349,226.0,65.0,54375.0,33108.0,12.0,5.3097345132743365,214.0,12.0,214.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
18350,2026.0,46.3,54265.0,28376.0,243.0,11.994076999012833,1822.0,204.0,2004.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
18351,570.0,37.0,42500.0,23054.0,78.0,13.68421052631579,518.0,52.0,483.0,27.0,0.0,18.0,0.0,17.0,25.0,0.0,25.0
18352,1364.0,29.0,46400.0,23507.0,401.0,29.39882697947214,1311.0,53.0,984.0,310.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0
18353,12005.0,45.3,64063.0,26058.0,925.0,7.7051228654727195,11127.0,878.0,11108.0,440.0,0.0,142.0,0.0,153.0,162.0,0.0,162.0
18354,645.0,43.9,52262.0,31206.0,16.0,2.4806201550387597,645.0,0.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18355,1286.0,49.3,62240.0,29063.0,205.0,15.940902021772938,1219.0,67.0,1098.0,21.0,0.0,0.0,0.0,131.0,36.0,0.0,36.0
18356,272.0,43.9,132612.0,28300.0,30.0,11.029411764705882,251.0,21.0,30.0,221.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
18357,271.0,46.5,71434.0,28951.0,100.0,36.90036900369004,255.0,16.0,166.0,13.0,0.0,12.0,0.0,0.0,80.0,0.0,80.0
18360,28061.0,43.4,57003.0,28597.0,3423.0,12.198424860126154,25416.0,2645.0,23694.0,2622.0,174.0,864.0,45.0,224.0,438.0,59.0,379.0
18370,930.0,46.7,58969.0,44533.0,0.0,0.0,911.0,19.0,740.0,12.0,0.0,0.0,0.0,0.0,178.0,0.0,178.0
18371,631.0,41.9,74155.0,33816.0,25.0,3.9619651347068148,487.0,144.0,442.0,98.0,0.0,14.0,0.0,0.0,77.0,0.0,77.0
18372,3035.0,39.5,54884.0,27674.0,195.0,6.42504118616145,2899.0,136.0,2396.0,442.0,0.0,134.0,0.0,13.0,50.0,0.0,50.0
18403,6998.0,41.6,46926.0,25988.0,704.0,10.060017147756502,6812.0,186.0,6846.0,12.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0
18405,2666.0,43.9,54265.0,24602.0,261.0,9.789947486871718,2430.0,236.0,2596.0,5.0,16.0,22.0,10.0,0.0,17.0,0.0,17.0
18407,13779.0,43.1,37065.0,21727.0,2490.0,18.070977574569998,13225.0,554.0,13406.0,109.0,33.0,39.0,0.0,158.0,34.0,0.0,34.0
18411,22163.0,43.8,70405.0,39090.0,753.0,3.397554482696386,21896.0,267.0,21159.0,117.0,38.0,576.0,0.0,22.0,251.0,34.0,217.0
18413,146.0,43.0,38875.0,27969.0,10.0,6.8493150684931505,136.0,10.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18414,5392.0,48.0,63802.0,33817.0,619.0,11.479970326409495,5284.0,108.0,5274.0,18.0,18.0,32.0,0.0,3.0,47.0,0.0,47.0
18415,1075.0,57.7,43802.0,28885.0,115.0,10.69767441860465,1019.0,56.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18417,1217.0,50.6,41290.0,25320.0,236.0,19.391947411668035,1209.0,8.0,1216.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18419,4778.0,39.1,53750.0,25057.0,374.0,7.827542904981164,4696.0,82.0,4677.0,46.0,7.0,19.0,0.0,2.0,27.0,0.0,27.0
18420,57.0,31.9,40694.0,17326.0,9.0,15.789473684210526,57.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18421,4625.0,44.7,46725.0,24855.0,679.0,14.68108108108108,4536.0,89.0,4573.0,1.0,12.0,19.0,0.0,0.0,20.0,0.0,20.0
18424,5046.0,46.6,49795.0,27143.0,612.0,12.128418549346017,4793.0,253.0,4840.0,75.0,6.0,22.0,0.0,13.0,90.0,22.0,68.0
18425,1481.0,36.9,43295.0,21364.0,64.0,4.321404456448346,1408.0,73.0,1181.0,125.0,0.0,139.0,0.0,0.0,36.0,0.0,36.0
18426,4604.0,49.1,47165.0,25371.0,628.0,13.64031277150304,4461.0,143.0,4399.0,0.0,0.0,90.0,0.0,102.0,13.0,0.0,13.0
18427,188.0,26.6,31528.0,9460.0,25.0,13.297872340425531,188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18428,11540.0,49.6,55092.0,29440.0,813.0,7.045060658578856,11031.0,509.0,10563.0,478.0,0.0,152.0,0.0,128.0,219.0,6.0,213.0
18430,21.0,65.1,14583.0,7476.0,3.0,14.285714285714286,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18431,13089.0,44.6,43906.0,23436.0,1992.0,15.218886087554434,12824.0,265.0,12860.0,88.0,10.0,0.0,0.0,44.0,87.0,0.0,87.0
18433,6882.0,44.6,46472.0,25685.0,670.0,9.73554199360651,6834.0,48.0,6698.0,51.0,0.0,12.0,0.0,0.0,121.0,3.0,118.0
18434,4232.0,39.2,46344.0,21951.0,512.0,12.098298676748582,4099.0,133.0,4232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435,747.0,38.7,57750.0,27230.0,28.0,3.748326639892905,704.0,43.0,736.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
18436,14212.0,45.5,55929.0,25141.0,953.0,6.70560090064734,13799.0,413.0,13643.0,383.0,10.0,65.0,0.0,0.0,111.0,0.0,111.0
18437,179.0,54.9,30000.0,20454.0,49.0,27.374301675977655,179.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18438,937.0,58.8,42154.0,35740.0,80.0,8.537886872998932,926.0,11.0,921.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,10.0
18439,430.0,44.5,54038.0,28798.0,113.0,26.27906976744186,421.0,9.0,408.0,1.0,0.0,0.0,0.0,9.0,12.0,0.0,12.0
18441,343.0,34.0,24125.0,14720.0,77.0,22.448979591836736,343.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18443,346.0,57.7,66375.0,43280.0,12.0,3.468208092485549,346.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
18444,14054.0,43.3,64099.0,30030.0,941.0,6.695602675394905,13903.0,151.0,13799.0,62.0,0.0,96.0,0.0,27.0,70.0,17.0,53.0
18445,2222.0,40.2,49922.0,21985.0,235.0,10.576057605760576,2163.0,59.0,2086.0,106.0,4.0,2.0,0.0,24.0,0.0,0.0,0.0
18446,3916.0,44.3,44519.0,22582.0,581.0,14.836567926455567,3844.0,72.0,3824.0,35.0,9.0,19.0,0.0,12.0,17.0,0.0,17.0
18447,10160.0,44.6,47242.0,24913.0,884.0,8.700787401574804,9944.0,216.0,9924.0,147.0,0.0,0.0,0.0,29.0,60.0,40.0,20.0
18451,398.0,59.2,44375.0,29780.0,26.0,6.532663316582915,398.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18452,5010.0,52.7,38826.0,25039.0,803.0,16.027944111776446,4697.0,313.0,4730.0,10.0,0.0,135.0,0.0,60.0,75.0,0.0,75.0
18453,1097.0,50.8,55833.0,27936.0,152.0,13.855970829535096,1066.0,31.0,1045.0,4.0,7.0,18.0,0.0,0.0,23.0,0.0,23.0
18454,28.0,56.5,42750.0,37282.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18455,102.0,30.6,73276.0,35196.0,0.0,0.0,102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18456,456.0,39.8,60368.0,28567.0,49.0,10.74561403508772,434.0,22.0,452.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
18457,73.0,72.4,56042.0,27048.0,0.0,0.0,73.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18458,3040.0,45.0,52656.0,30760.0,199.0,6.546052631578948,2956.0,84.0,2988.0,15.0,0.0,5.0,0.0,18.0,14.0,0.0,14.0
18459,63.0,61.1,27813.0,15283.0,29.0,46.03174603174603,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18460,231.0,55.8,51979.0,23631.0,24.0,10.38961038961039,226.0,5.0,225.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
18461,325.0,54.3,36563.0,43322.0,30.0,9.23076923076923,325.0,0.0,321.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
18462,403.0,48.5,41071.0,23011.0,47.0,11.662531017369727,403.0,0.0,393.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
18463,262.0,45.5,57273.0,37327.0,3.0,1.1450381679389312,262.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18464,1147.0,45.4,59000.0,30877.0,72.0,6.2772449869224065,1100.0,47.0,1131.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18465,1588.0,45.7,47292.0,23845.0,185.0,11.649874055415617,1579.0,9.0,1574.0,0.0,0.0,8.0,0.0,3.0,3.0,0.0,3.0
18466,17450.0,35.1,54458.0,20815.0,2906.0,16.653295128939828,13662.0,3788.0,9505.0,5905.0,32.0,454.0,0.0,553.0,1001.0,200.0,801.0
18469,475.0,49.5,46406.0,22651.0,21.0,4.421052631578948,475.0,0.0,459.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0
18470,2116.0,50.7,54954.0,29750.0,198.0,9.357277882797732,2115.0,1.0,2080.0,0.0,25.0,3.0,0.0,0.0,8.0,0.0,8.0
18471,610.0,47.8,121771.0,50288.0,20.0,3.278688524590164,606.0,4.0,588.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
18472,7415.0,42.3,47560.0,15284.0,556.0,7.498314227916386,6815.0,600.0,5848.0,1067.0,26.0,69.0,0.0,204.0,201.0,63.0,138.0
18473,432.0,41.8,50052.0,27326.0,86.0,19.90740740740741,362.0,70.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18503,1141.0,53.7,15724.0,15557.0,269.0,23.57581069237511,1064.0,77.0,968.0,95.0,0.0,12.0,35.0,14.0,17.0,0.0,17.0
18504,21199.0,40.9,41693.0,21502.0,3107.0,14.656351714703524,19515.0,1684.0,19550.0,816.0,11.0,158.0,0.0,243.0,421.0,18.0,403.0
18505,20933.0,40.3,38796.0,21924.0,4666.0,22.290163856112358,18276.0,2657.0,17740.0,1445.0,43.0,722.0,0.0,491.0,492.0,113.0,379.0
18507,4745.0,46.4,51032.0,37044.0,296.0,6.238145416227608,4739.0,6.0,4689.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
18508,11644.0,42.0,36118.0,19832.0,2211.0,18.98832016489179,10491.0,1153.0,10096.0,1192.0,44.0,67.0,0.0,132.0,113.0,20.0,93.0
18509,13612.0,35.2,43648.0,23041.0,2143.0,15.743461651483985,12827.0,785.0,12516.0,545.0,48.0,73.0,0.0,96.0,334.0,7.0,327.0
18510,14577.0,27.0,39109.0,17888.0,2905.0,19.928654730054195,13247.0,1330.0,11283.0,1015.0,4.0,1572.0,14.0,203.0,486.0,172.0,314.0
18512,11989.0,42.6,44688.0,26160.0,1593.0,13.287179914922012,11494.0,495.0,11713.0,132.0,55.0,52.0,0.0,13.0,24.0,0.0,24.0
18517,4959.0,45.4,41901.0,23472.0,400.0,8.066142367412786,4561.0,398.0,4764.0,53.0,0.0,0.0,0.0,58.0,84.0,0.0,84.0
18518,8299.0,43.6,49347.0,26281.0,820.0,9.880708519098686,7988.0,311.0,8129.0,50.0,0.0,79.0,0.0,0.0,41.0,13.0,28.0
18519,4838.0,41.6,38990.0,24672.0,565.0,11.678379495659364,4721.0,117.0,4619.0,39.0,0.0,110.0,0.0,11.0,59.0,0.0,59.0
18602,339.0,53.1,102857.0,49252.0,46.0,13.569321533923304,331.0,8.0,334.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
18603,19334.0,43.2,42966.0,22815.0,2491.0,12.884038481431675,18676.0,658.0,18762.0,115.0,0.0,263.0,0.0,44.0,150.0,32.0,118.0
18610,4813.0,41.9,52468.0,21659.0,860.0,17.868273426137545,3913.0,900.0,3350.0,1181.0,0.0,0.0,0.0,134.0,148.0,0.0,148.0
18612,17393.0,42.9,61291.0,29950.0,1209.0,6.951072270453631,17070.0,323.0,16235.0,626.0,7.0,183.0,0.0,57.0,285.0,137.0,148.0
18614,2744.0,47.6,39464.0,21667.0,392.0,14.285714285714286,2727.0,17.0,2727.0,0.0,5.0,7.0,0.0,0.0,5.0,0.0,5.0
18615,1745.0,49.1,51094.0,30046.0,121.0,6.934097421203439,1728.0,17.0,1732.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
18616,527.0,56.5,32212.0,21933.0,56.0,10.62618595825427,527.0,0.0,524.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
18617,1851.0,44.3,26435.0,15633.0,865.0,46.73149648838466,1767.0,84.0,1799.0,20.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0
18618,3769.0,46.7,59798.0,30699.0,346.0,9.180153886972672,3683.0,86.0,3563.0,1.0,99.0,30.0,0.0,43.0,33.0,0.0,33.0
18619,202.0,43.8,46406.0,22188.0,21.0,10.396039603960396,201.0,1.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18621,5934.0,43.2,44093.0,19799.0,639.0,10.76845298281092,5787.0,147.0,5240.0,553.0,2.0,8.0,0.0,30.0,101.0,23.0,78.0
18622,260.0,45.6,31944.0,16972.0,88.0,33.84615384615385,260.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
