County,State,Date,Total Labor,Employed,Unemployed,Rate
Pratt County,KS,Aug-19,4873,4740,133,2.7
Rawlins County,KS,Aug-19,1556,1518,38,2.4
Reno County,KS,Aug-19,29132,28118,1014,3.5
Republic County,KS,Aug-19,2310,2244,66,2.9
Rice County,KS,Aug-19,5137,4988,149,2.9
Riley County,KS,Aug-19,34099,33028,1071,3.1
Rooks County,KS,Aug-19,2533,2440,93,3.7
Rush County,KS,Aug-19,1648,1601,47,2.9
Russell County,KS,Aug-19,3233,3121,112,3.5
Saline County,KS,Aug-19,30531,29549,982,3.2
Scott County,KS,Aug-19,2918,2850,68,2.3
Sedgwick County,KS,Aug-19,250870,241610,9260,3.7
Seward County,KS,Aug-19,9648,9332,316,3.3
Shawnee County,KS,Aug-19,90875,87733,3142,3.5
Sheridan County,KS,Aug-19,1434,1401,33,2.3
Sherman County,KS,Aug-19,2874,2787,87,3
Smith County,KS,Aug-19,1934,1878,56,2.9
Stafford County,KS,Aug-19,2012,1953,59,2.9
Stanton County,KS,Aug-19,997,971,26,2.6
Stevens County,KS,Aug-19,2572,2497,75,2.9
Sumner County,KS,Aug-19,10969,10571,398,3.6
Thomas County,KS,Aug-19,4324,4214,110,2.5
Trego County,KS,Aug-19,1398,1354,44,3.1
Wabaunsee County,KS,Aug-19,3712,3590,122,3.3
Wallace County,KS,Aug-19,823,802,21,2.6
Washington County,KS,Aug-19,2947,2867,80,2.7
Wichita County,KS,Aug-19,1229,1199,30,2.4
Wilson County,KS,Aug-19,3916,3741,175,4.5
Woodson County,KS,Aug-19,1584,1516,68,4.3
Wyandotte County,KS,Aug-19,77495,74155,3340,4.3
Adair County,MO,Aug-19,9932,9486,446,4.5
Andrew County,MO,Aug-19,9686,9426,260,2.7
Atchison County,MO,Aug-19,2515,2408,107,4.3
Audrain County,MO,Aug-19,10344,9987,357,3.5
Barry County,MO,Aug-19,14912,14361,551,3.7
Barton County,MO,Aug-19,5004,4810,194,3.9
Bates County,MO,Aug-19,7868,7529,339,4.3
Benton County,MO,Aug-19,6960,6643,317,4.6
Bollinger County,MO,Aug-19,5395,5167,228,4.2
Boone County,MO,Aug-19,96631,94045,2586,2.7
Buchanan County,MO,Aug-19,44537,43114,1423,3.2
Butler County,MO,Aug-19,17771,16935,836,4.7
Caldwell County,MO,Aug-19,4327,4186,141,3.3
Callaway County,MO,Aug-19,21541,20827,714,3.3
Camden County,MO,Aug-19,20003,19238,765,3.8
Cape Girardeau County,MO,Aug-19,40517,39136,1381,3.4
Carroll County,MO,Aug-19,4555,4402,153,3.4
Carter County,MO,Aug-19,2633,2504,129,4.9
Cass County,MO,Aug-19,55038,53335,1703,3.1
Cedar County,MO,Aug-19,5576,5350,226,4.1
Chariton County,MO,Aug-19,3478,3353,125,3.6
Christian County,MO,Aug-19,44609,43287,1322,3
Clark County,MO,Aug-19,3155,3046,109,3.5
Clay County,MO,Aug-19,137287,133101,4186,3
Clinton County,MO,Aug-19,10700,10377,323,3
Cole County,MO,Aug-19,39447,38270,1177,3
Cooper County,MO,Aug-19,7197,6937,260,3.6
Crawford County,MO,Aug-19,10914,10508,406,3.7
Dade County,MO,Aug-19,3322,3201,121,3.6
Dallas County,MO,Aug-19,7018,6626,392,5.6
Daviess County,MO,Aug-19,3842,3707,135,3.5
DeKalb County,MO,Aug-19,4755,4614,141,3
Dent County,MO,Aug-19,6028,5774,254,4.2
Douglas County,MO,Aug-19,4986,4621,365,7.3
Dunklin County,MO,Aug-19,11060,10410,650,5.9
Franklin County,MO,Aug-19,53463,51659,1804,3.4
Gasconade County,MO,Aug-19,7557,7339,218,2.9
Gentry County,MO,Aug-19,3403,3298,105,3.1
Greene County,MO,Aug-19,150343,145662,4681,3.1
Grundy County,MO,Aug-19,4049,3892,157,3.9
Harrison County,MO,Aug-19,3578,3431,147,4.1
Henry County,MO,Aug-19,9426,9041,385,4.1
Hickory County,MO,Aug-19,3840,3662,178,4.6
Holt County,MO,Aug-19,2490,2409,81,3.3
Howard County,MO,Aug-19,4643,4492,151,3.3
Howell County,MO,Aug-19,16331,15647,684,4.2
Iron County,MO,Aug-19,3455,3275,180,5.2
Jackson County,MO,Aug-19,366256,351433,14823,4
Jasper County,MO,Aug-19,57231,55419,1812,3.2
Jefferson County,MO,Aug-19,118919,115120,3799,3.2
Johnson County,MO,Aug-19,22713,21793,920,4.1
Knox County,MO,Aug-19,1669,1621,48,2.9
Laclede County,MO,Aug-19,17283,15695,1588,9.2
Lafayette County,MO,Aug-19,16738,16246,492,2.9
Lawrence County,MO,Aug-19,17419,16755,664,3.8
Lewis County,MO,Aug-19,4815,4645,170,3.5
Lincoln County,MO,Aug-19,28462,27530,932,3.3
Linn County,MO,Aug-19,4943,4634,309,6.3
Livingston County,MO,Aug-19,7141,6955,186,2.6
McDonald County,MO,Aug-19,10637,10258,379,3.6
Macon County,MO,Aug-19,7198,6946,252,3.5
Madison County,MO,Aug-19,5428,5242,186,3.4
Maries County,MO,Aug-19,3755,3614,141,3.8
Marion County,MO,Aug-19,14291,13825,466,3.3
Mercer County,MO,Aug-19,1651,1597,54,3.3
Miller County,MO,Aug-19,12217,11777,440,3.6
Mississippi County,MO,Aug-19,5651,5397,254,4.5
Moniteau County,MO,Aug-19,7267,7037,230,3.2
Monroe County,MO,Aug-19,3710,3538,172,4.6
Montgomery County,MO,Aug-19,5685,5507,178,3.1
Morgan County,MO,Aug-19,8214,7891,323,3.9
New Madrid County,MO,Aug-19,7944,7556,388,4.9
Newton County,MO,Aug-19,27263,26329,934,3.4
Nodaway County,MO,Aug-19,10398,10021,377,3.6
Oregon County,MO,Aug-19,3922,3757,165,4.2
Osage County,MO,Aug-19,7111,6915,196,2.8
Ozark County,MO,Aug-19,3303,3091,212,6.4
Pemiscot County,MO,Aug-19,6338,5989,349,5.5
Perry County,MO,Aug-19,9911,9645,266,2.7
Pettis County,MO,Aug-19,21178,20310,868,4.1
Phelps County,MO,Aug-19,19854,19178,676,3.4
Pike County,MO,Aug-19,7325,7034,291,4
Platte County,MO,Aug-19,59037,57384,1653,2.8
Polk County,MO,Aug-19,14425,13866,559,3.9
Pulaski County,MO,Aug-19,14717,14065,652,4.4
Putnam County,MO,Aug-19,2215,2108,107,4.8
Ralls County,MO,Aug-19,5521,5356,165,3
Randolph County,MO,Aug-19,10059,9631,428,4.3
Ray County,MO,Aug-19,11083,10635,448,4
Reynolds County,MO,Aug-19,2933,2812,121,4.1
Ripley County,MO,Aug-19,4842,4574,268,5.5
St. Charles County,MO,Aug-19,228067,222034,6033,2.6
St. Clair County,MO,Aug-19,3552,3354,198,5.6
Ste. Genevieve County,MO,Aug-19,9111,8865,246,2.7
St. Francois County,MO,Aug-19,26557,25528,1029,3.9
St. Louis County,MO,Aug-19,537065,519166,17899,3.3
Saline County,MO,Aug-19,10156,9787,369,3.6
Schuyler County,MO,Aug-19,1849,1758,91,4.9
Scotland County,MO,Aug-19,2320,2243,77,3.3
Scott County,MO,Aug-19,19642,18881,761,3.9
Shannon County,MO,Aug-19,3150,2985,165,5.2
Shelby County,MO,Aug-19,2913,2838,75,2.6
Stoddard County,MO,Aug-19,12980,12334,646,5
Stone County,MO,Aug-19,14368,13809,559,3.9
Sullivan County,MO,Aug-19,2507,2402,105,4.2
Taney County,MO,Aug-19,28099,27013,1086,3.9
Texas County,MO,Aug-19,8492,8062,430,5.1
Vernon County,MO,Aug-19,9001,8650,351,3.9
Warren County,MO,Aug-19,17977,17476,501,2.8
Washington County,MO,Aug-19,9982,9542,440,4.4
Wayne County,MO,Aug-19,5278,5016,262,5
Webster County,MO,Aug-19,17183,16398,785,4.6
Worth County,MO,Aug-19,1081,1053,28,2.6
Wright County,MO,Aug-19,7168,6688,480,6.7
St. Louis city,MO,Aug-19,154409,147791,6618,4.3
Allen County,KS,Sep-19,6404,6217,187,2.9
Anderson County,KS,Sep-19,4231,4116,115,2.7
Atchison County,KS,Sep-19,7081,6733,348,4.9
Barber County,KS,Sep-19,2392,2337,55,2.3
Barton County,KS,Sep-19,13434,13058,376,2.8
Bourbon County,KS,Sep-19,6492,6263,229,3.5
Brown County,KS,Sep-19,5396,5261,135,2.5
Butler County,KS,Sep-19,32385,31469,916,2.8
Chase County,KS,Sep-19,1531,1501,30,2
Chautauqua County,KS,Sep-19,1450,1407,43,3
Cherokee County,KS,Sep-19,10137,9838,299,2.9
Cheyenne County,KS,Sep-19,1375,1350,25,1.8
Clark County,KS,Sep-19,1118,1096,22,2
Clay County,KS,Sep-19,3927,3832,95,2.4
Cloud County,KS,Sep-19,3832,3725,107,2.8
Coffey County,KS,Sep-19,4181,4046,135,3.2
Comanche County,KS,Sep-19,881,859,22,2.5
Cowley County,KS,Sep-19,16317,15844,473,2.9
Crawford County,KS,Sep-19,18482,17849,633,3.4
Decatur County,KS,Sep-19,1277,1242,35,2.7
Dickinson County,KS,Sep-19,8859,8597,262,3
Doniphan County,KS,Sep-19,4153,4046,107,2.6
Douglas County,KS,Sep-19,65602,63967,1635,2.5
Edwards County,KS,Sep-19,1513,1480,33,2.2
Elk County,KS,Sep-19,1198,1158,40,3.3
Ellis County,KS,Sep-19,17184,16866,318,1.9
Ellsworth County,KS,Sep-19,2780,2715,65,2.3
Finney County,KS,Sep-19,20725,20300,425,2.1
Ford County,KS,Sep-19,17284,16905,379,2.2
Franklin County,KS,Sep-19,14032,13653,379,2.7
Geary County,KS,Sep-19,11280,10840,440,3.9
Gove County,KS,Sep-19,1537,1510,27,1.8
Graham County,KS,Sep-19,1157,1127,30,2.6
Grant County,KS,Sep-19,3375,3301,74,2.2
Gray County,KS,Sep-19,3446,3388,58,1.7
Greeley County,KS,Sep-19,849,829,20,2.4
Greenwood County,KS,Sep-19,3285,3200,85,2.6
Hamilton County,KS,Sep-19,1763,1738,25,1.4
Harper County,KS,Sep-19,2844,2780,64,2.3
Harvey County,KS,Sep-19,16984,16546,438,2.6
Haskell County,KS,Sep-19,2299,2259,40,1.7
Hodgeman County,KS,Sep-19,1042,1020,22,2.1
Jackson County,KS,Sep-19,7111,6942,169,2.4
Jefferson County,KS,Sep-19,10019,9780,239,2.4
Jewell County,KS,Sep-19,1330,1300,30,2.3
Johnson County,KS,Sep-19,336257,328245,8012,2.4
Kearny County,KS,Sep-19,2131,2093,38,1.8
Kingman County,KS,Sep-19,3507,3417,90,2.6
Kiowa County,KS,Sep-19,1362,1337,25,1.8
Labette County,KS,Sep-19,9888,9570,318,3.2
Lane County,KS,Sep-19,828,806,22,2.7
Leavenworth County,KS,Sep-19,36207,35146,1061,2.9
Lincoln County,KS,Sep-19,1734,1701,33,1.9
Linn County,KS,Sep-19,4420,4211,209,4.7
Logan County,KS,Sep-19,1715,1683,32,1.9
Lyon County,KS,Sep-19,16624,16154,470,2.8
McPherson County,KS,Sep-19,17210,16876,334,1.9
Marion County,KS,Sep-19,6093,5944,149,2.4
Marshall County,KS,Sep-19,5610,5485,125,2.2
Meade County,KS,Sep-19,2265,2223,42,1.9
Miami County,KS,Sep-19,17331,16863,468,2.7
Mitchell County,KS,Sep-19,3340,3275,65,1.9
Montgomery County,KS,Sep-19,14573,14067,506,3.5
Morris County,KS,Sep-19,3077,3012,65,2.1
Morton County,KS,Sep-19,1182,1149,33,2.8
Nemaha County,KS,Sep-19,5507,5372,135,2.5
Neosho County,KS,Sep-19,6212,5953,259,4.2
Ness County,KS,Sep-19,1409,1379,30,2.1
Norton County,KS,Sep-19,2764,2714,50,1.8
Osage County,KS,Sep-19,7921,7690,231,2.9
Osborne County,KS,Sep-19,2104,2071,33,1.6
Ottawa County,KS,Sep-19,3040,2971,69,2.3
Pawnee County,KS,Sep-19,3004,2935,69,2.3
Phillips County,KS,Sep-19,2720,2665,55,2
Pottawatomie County,KS,Sep-19,12622,12341,281,2.2
Pratt County,KS,Sep-19,4979,4884,95,1.9
Rawlins County,KS,Sep-19,1594,1566,28,1.8
Reno County,KS,Sep-19,30012,29215,797,2.7
Republic County,KS,Sep-19,2356,2308,48,2
Rice County,KS,Sep-19,5279,5157,122,2.3
Riley County,KS,Sep-19,35535,34686,849,2.4
Rooks County,KS,Sep-19,2590,2516,74,2.9
Rush County,KS,Sep-19,1651,1614,37,2.2
Russell County,KS,Sep-19,3260,3173,87,2.7
Saline County,KS,Sep-19,29890,29118,772,2.6
Scott County,KS,Sep-19,2965,2918,47,1.6
Sedgwick County,KS,Sep-19,249392,241829,7563,3
Seward County,KS,Sep-19,9558,9287,271,2.8
Shawnee County,KS,Sep-19,89127,86573,2554,2.9
Sheridan County,KS,Sep-19,1493,1466,27,1.8
Sherman County,KS,Sep-19,2889,2820,69,2.4
Smith County,KS,Sep-19,2033,1991,42,2.1
Stafford County,KS,Sep-19,2106,2059,47,2.2
Stanton County,KS,Sep-19,1041,1018,23,2.2
Stevens County,KS,Sep-19,2714,2650,64,2.4
Sumner County,KS,Sep-19,10962,10638,324,3
Thomas County,KS,Sep-19,4391,4309,82,1.9
Trego County,KS,Sep-19,1461,1429,32,2.2
Wabaunsee County,KS,Sep-19,3680,3586,94,2.6
Wallace County,KS,Sep-19,873,858,15,1.7
Washington County,KS,Sep-19,3044,2986,58,1.9
Wichita County,KS,Sep-19,1317,1295,22,1.7
Wilson County,KS,Sep-19,3981,3851,130,3.3
Woodson County,KS,Sep-19,1575,1520,55,3.5
Wyandotte County,KS,Sep-19,76393,73694,2699,3.5
Adair County,MO,Sep-19,10238,9938,300,2.9
Andrew County,MO,Sep-19,9679,9484,195,2
Atchison County,MO,Sep-19,2603,2539,64,2.5
Audrain County,MO,Sep-19,10529,10253,276,2.6
Barry County,MO,Sep-19,15405,14958,447,2.9
Barton County,MO,Sep-19,5127,4995,132,2.6
Bates County,MO,Sep-19,7813,7562,251,3.2
Benton County,MO,Sep-19,7226,6867,359,5
Bollinger County,MO,Sep-19,5409,5247,162,3
Boone County,MO,Sep-19,99063,97222,1841,1.9
Buchanan County,MO,Sep-19,44469,43410,1059,2.4
Butler County,MO,Sep-19,17983,17383,600,3.3
Caldwell County,MO,Sep-19,4304,4206,98,2.3
Callaway County,MO,Sep-19,21251,20786,465,2.2
Camden County,MO,Sep-19,19198,18539,659,3.4
Cape Girardeau County,MO,Sep-19,40816,39793,1023,2.5
Carroll County,MO,Sep-19,4624,4512,112,2.4
Carter County,MO,Sep-19,2575,2483,92,3.6
Cass County,MO,Sep-19,54836,53566,1270,2.3
Cedar County,MO,Sep-19,5760,5593,167,2.9
Chariton County,MO,Sep-19,3665,3585,80,2.2
Christian County,MO,Sep-19,45135,44164,971,2.2
Clark County,MO,Sep-19,3137,3063,74,2.4
Clay County,MO,Sep-19,136805,133724,3081,2.3
Clinton County,MO,Sep-19,10673,10432,241,2.3
Cole County,MO,Sep-19,38934,38175,759,1.9
Cooper County,MO,Sep-19,7507,7318,189,2.5
Crawford County,MO,Sep-19,10988,10668,320,2.9
Dade County,MO,Sep-19,3514,3417,97,2.8
Dallas County,MO,Sep-19,7090,6761,329,4.6
Daviess County,MO,Sep-19,4028,3936,92,2.3
DeKalb County,MO,Sep-19,4755,4649,106,2.2
Dent County,MO,Sep-19,6302,6126,176,2.8
Douglas County,MO,Sep-19,5320,4743,577,10.8
Dunklin County,MO,Sep-19,11277,10809,468,4.2
Franklin County,MO,Sep-19,53179,51896,1283,2.4
Gasconade County,MO,Sep-19,7694,7517,177,2.3
Gentry County,MO,Sep-19,3389,3316,73,2.2
Greene County,MO,Sep-19,152156,148785,3371,2.2
Grundy County,MO,Sep-19,4300,4189,111,2.6
Harrison County,MO,Sep-19,3672,3569,103,2.8
Henry County,MO,Sep-19,9638,9374,264,2.7
Hickory County,MO,Sep-19,3949,3801,148,3.7
Holt County,MO,Sep-19,2501,2449,52,2.1
Howard County,MO,Sep-19,4856,4739,117,2.4
Howell County,MO,Sep-19,16678,15983,695,4.2
Iron County,MO,Sep-19,3471,3348,123,3.5
Jackson County,MO,Sep-19,363860,352946,10914,3
Jasper County,MO,Sep-19,57220,55802,1418,2.5
Jefferson County,MO,Sep-19,118438,115599,2839,2.4
Johnson County,MO,Sep-19,23254,22593,661,2.8
Knox County,MO,Sep-19,1740,1705,35,2
Laclede County,MO,Sep-19,18102,16095,2007,11.1
Lafayette County,MO,Sep-19,16726,16335,391,2.3
Lawrence County,MO,Sep-19,17910,17433,477,2.7
Lewis County,MO,Sep-19,4943,4813,130,2.6
Lincoln County,MO,Sep-19,28366,27665,701,2.5
Linn County,MO,Sep-19,5037,4849,188,3.7
Livingston County,MO,Sep-19,7202,7063,139,1.9
McDonald County,MO,Sep-19,10695,10413,282,2.6
Macon County,MO,Sep-19,7419,7230,189,2.5
Madison County,MO,Sep-19,5434,5292,142,2.6
Maries County,MO,Sep-19,3821,3726,95,2.5
Marion County,MO,Sep-19,14545,14203,342,2.4
Mercer County,MO,Sep-19,1809,1767,42,2.3
Miller County,MO,Sep-19,12398,12086,312,2.5
Mississippi County,MO,Sep-19,5685,5500,185,3.3
Moniteau County,MO,Sep-19,7194,7035,159,2.2
Monroe County,MO,Sep-19,3890,3769,121,3.1
Montgomery County,MO,Sep-19,5716,5590,126,2.2
Morgan County,MO,Sep-19,8051,7795,256,3.2
New Madrid County,MO,Sep-19,8064,7784,280,3.5
Newton County,MO,Sep-19,27218,26515,703,2.6
Nodaway County,MO,Sep-19,10900,10649,251,2.3
Oregon County,MO,Sep-19,4012,3848,164,4.1
Osage County,MO,Sep-19,7018,6903,115,1.6
Ozark County,MO,Sep-19,3434,3249,185,5.4
Pemiscot County,MO,Sep-19,6301,6056,245,3.9
Perry County,MO,Sep-19,9847,9642,205,2.1
Pettis County,MO,Sep-19,20862,20323,539,2.6
Phelps County,MO,Sep-19,19791,19276,515,2.6
Pike County,MO,Sep-19,7419,7198,221,3
Platte County,MO,Sep-19,58901,57659,1242,2.1
Polk County,MO,Sep-19,14589,14116,473,3.2
Pulaski County,MO,Sep-19,14680,14091,589,4
Putnam County,MO,Sep-19,2186,2116,70,3.2
Ralls County,MO,Sep-19,5623,5500,123,2.2
Randolph County,MO,Sep-19,10401,10071,330,3.2
Ray County,MO,Sep-19,10984,10687,297,2.7
Reynolds County,MO,Sep-19,3041,2953,88,2.9
Ripley County,MO,Sep-19,4974,4800,174,3.5
St. Charles County,MO,Sep-19,227777,223159,4618,2
St. Clair County,MO,Sep-19,3656,3520,136,3.7
Ste. Genevieve County,MO,Sep-19,9176,8997,179,2
St. Francois County,MO,Sep-19,26498,25728,770,2.9
St. Louis County,MO,Sep-19,534934,521484,13450,2.5
Saline County,MO,Sep-19,10476,10228,248,2.4
Schuyler County,MO,Sep-19,1898,1830,68,3.6
Scotland County,MO,Sep-19,2338,2283,55,2.4
Scott County,MO,Sep-19,19765,19191,574,2.9
Shannon County,MO,Sep-19,3169,3048,121,3.8
Shelby County,MO,Sep-19,3010,2955,55,1.8
Stoddard County,MO,Sep-19,12896,12446,450,3.5
Stone County,MO,Sep-19,13938,13526,412,3
Sullivan County,MO,Sep-19,2600,2526,74,2.8
Taney County,MO,Sep-19,27258,26466,792,2.9
Texas County,MO,Sep-19,8965,8636,329,3.7
Vernon County,MO,Sep-19,9238,8987,251,2.7
Warren County,MO,Sep-19,17943,17557,386,2.2
Washington County,MO,Sep-19,10252,9916,336,3.3
Wayne County,MO,Sep-19,5234,5051,183,3.5
Webster County,MO,Sep-19,17285,16731,554,3.2
Worth County,MO,Sep-19,1137,1114,23,2
Wright County,MO,Sep-19,7566,7072,494,6.5
St. Louis city,MO,Sep-19,153343,148480,4863,3.2
Allen County,KS,Oct-19,6416,6222,194,3
Anderson County,KS,Oct-19,4245,4131,114,2.7
Atchison County,KS,Oct-19,7049,6678,371,5.3
Barber County,KS,Oct-19,2388,2326,62,2.6
Barton County,KS,Oct-19,13400,13043,357,2.7
Bourbon County,KS,Oct-19,6638,6399,239,3.6
Brown County,KS,Oct-19,5381,5242,139,2.6
Butler County,KS,Oct-19,32503,31553,950,2.9
Chase County,KS,Oct-19,1532,1501,31,2
Chautauqua County,KS,Oct-19,1466,1416,50,3.4
Cherokee County,KS,Oct-19,10171,9859,312,3.1
Cheyenne County,KS,Oct-19,1376,1345,31,2.3
Clark County,KS,Oct-19,1120,1097,23,2.1
Clay County,KS,Oct-19,3875,3774,101,2.6
Cloud County,KS,Oct-19,3842,3728,114,3
Coffey County,KS,Oct-19,4260,4120,140,3.3
Comanche County,KS,Oct-19,885,861,24,2.7
Cowley County,KS,Oct-19,16518,16021,497,3
Crawford County,KS,Oct-19,18663,17996,667,3.6
Decatur County,KS,Oct-19,1247,1214,33,2.6
Dickinson County,KS,Oct-19,8936,8679,257,2.9
Doniphan County,KS,Oct-19,4173,4055,118,2.8
Douglas County,KS,Oct-19,66705,64958,1747,2.6
Edwards County,KS,Oct-19,1544,1504,40,2.6
Elk County,KS,Oct-19,1208,1166,42,3.5
Ellis County,KS,Oct-19,17304,16966,338,2
Ellsworth County,KS,Oct-19,2774,2705,69,2.5
Finney County,KS,Oct-19,20744,20318,426,2.1
Ford County,KS,Oct-19,17221,16817,404,2.3
Franklin County,KS,Oct-19,14079,13691,388,2.8
Geary County,KS,Oct-19,11436,10975,461,4
Gove County,KS,Oct-19,1533,1505,28,1.8
Graham County,KS,Oct-19,1152,1119,33,2.9
Grant County,KS,Oct-19,3328,3250,78,2.3
Gray County,KS,Oct-19,3438,3377,61,1.8
Greeley County,KS,Oct-19,831,814,17,2
Greenwood County,KS,Oct-19,3376,3291,85,2.5
Hamilton County,KS,Oct-19,1733,1705,28,1.6
Harper County,KS,Oct-19,2866,2800,66,2.3
Harvey County,KS,Oct-19,17046,16583,463,2.7
Haskell County,KS,Oct-19,2262,2222,40,1.8
Hodgeman County,KS,Oct-19,1036,1010,26,2.5
Jackson County,KS,Oct-19,7143,6973,170,2.4
Jefferson County,KS,Oct-19,10096,9826,270,2.7
Jewell County,KS,Oct-19,1317,1282,35,2.7
Johnson County,KS,Oct-19,339163,330734,8429,2.5
Kearny County,KS,Oct-19,2126,2077,49,2.3
Kingman County,KS,Oct-19,3506,3405,101,2.9
Kiowa County,KS,Oct-19,1347,1319,28,2.1
Labette County,KS,Oct-19,9924,9596,328,3.3
Lane County,KS,Oct-19,827,808,19,2.3
Leavenworth County,KS,Oct-19,36495,35380,1115,3.1
Lincoln County,KS,Oct-19,1791,1760,31,1.7
Linn County,KS,Oct-19,4451,4231,220,4.9
Logan County,KS,Oct-19,1698,1669,29,1.7
Lyon County,KS,Oct-19,16704,16227,477,2.9
McPherson County,KS,Oct-19,17218,16873,345,2
Marion County,KS,Oct-19,6099,5940,159,2.6
Marshall County,KS,Oct-19,5563,5436,127,2.3
Meade County,KS,Oct-19,2189,2147,42,1.9
Miami County,KS,Oct-19,17481,16980,501,2.9
Mitchell County,KS,Oct-19,3327,3259,68,2
Montgomery County,KS,Oct-19,14846,14243,603,4.1
Morris County,KS,Oct-19,3093,3018,75,2.4
Morton County,KS,Oct-19,1196,1167,29,2.4
Nemaha County,KS,Oct-19,5451,5305,146,2.7
Neosho County,KS,Oct-19,6239,5976,263,4.2
Ness County,KS,Oct-19,1386,1353,33,2.4
Norton County,KS,Oct-19,2749,2697,52,1.9
Osage County,KS,Oct-19,7974,7731,243,3
Osborne County,KS,Oct-19,2124,2088,36,1.7
Ottawa County,KS,Oct-19,3053,2980,73,2.4
Pawnee County,KS,Oct-19,2979,2908,71,2.4
Phillips County,KS,Oct-19,2701,2639,62,2.3
Pottawatomie County,KS,Oct-19,12821,12525,296,2.3
Pratt County,KS,Oct-19,4986,4879,107,2.1
Rawlins County,KS,Oct-19,1541,1512,29,1.9
Reno County,KS,Oct-19,29640,28791,849,2.9
Republic County,KS,Oct-19,2332,2283,49,2.1
Rice County,KS,Oct-19,5220,5100,120,2.3
Riley County,KS,Oct-19,36144,35248,896,2.5
Rooks County,KS,Oct-19,2577,2504,73,2.8
Rush County,KS,Oct-19,1669,1634,35,2.1
Russell County,KS,Oct-19,3325,3244,81,2.4
Saline County,KS,Oct-19,29983,29203,780,2.6
Scott County,KS,Oct-19,2965,2918,47,1.6
Sedgwick County,KS,Oct-19,250607,242724,7883,3.1
Seward County,KS,Oct-19,9468,9189,279,2.9
Shawnee County,KS,Oct-19,89847,87148,2699,3
Sheridan County,KS,Oct-19,1471,1442,29,2
Sherman County,KS,Oct-19,2880,2800,80,2.8
Smith County,KS,Oct-19,2046,2004,42,2.1
Stafford County,KS,Oct-19,2127,2080,47,2.2
Stanton County,KS,Oct-19,1041,1015,26,2.5
Stevens County,KS,Oct-19,2646,2582,64,2.4
Sumner County,KS,Oct-19,10950,10635,315,2.9
Thomas County,KS,Oct-19,4412,4325,87,2
Trego County,KS,Oct-19,1447,1418,29,2
Wabaunsee County,KS,Oct-19,3692,3583,109,3
Wallace County,KS,Oct-19,846,829,17,2
Washington County,KS,Oct-19,3033,2974,59,1.9
Wichita County,KS,Oct-19,1308,1284,24,1.8
Wilson County,KS,Oct-19,4014,3868,146,3.6
Woodson County,KS,Oct-19,1583,1528,55,3.5
Wyandotte County,KS,Oct-19,77341,74192,3149,4.1
Adair County,MO,Oct-19,10442,10162,280,2.7
Andrew County,MO,Oct-19,9843,9629,214,2.2
Atchison County,MO,Oct-19,2784,2712,72,2.6
Audrain County,MO,Oct-19,10759,10476,283,2.6
Barry County,MO,Oct-19,15719,15255,464,3
Barton County,MO,Oct-19,5301,5167,134,2.5
Bates County,MO,Oct-19,7989,7758,231,2.9
Benton County,MO,Oct-19,7251,6992,259,3.6
Bollinger County,MO,Oct-19,5549,5380,169,3
Boone County,MO,Oct-19,99703,97819,1884,1.9
Buchanan County,MO,Oct-19,44832,43685,1147,2.6
Butler County,MO,Oct-19,17978,17377,601,3.3
Caldwell County,MO,Oct-19,4436,4332,104,2.3
Callaway County,MO,Oct-19,21366,20893,473,2.2
Camden County,MO,Oct-19,18600,17926,674,3.6
Cape Girardeau County,MO,Oct-19,41182,40133,1049,2.5
Carroll County,MO,Oct-19,4842,4699,143,3
Carter County,MO,Oct-19,2557,2462,95,3.7
Cass County,MO,Oct-19,55186,53887,1299,2.4
Cedar County,MO,Oct-19,5878,5700,178,3
Chariton County,MO,Oct-19,3829,3746,83,2.2
Christian County,MO,Oct-19,45199,44201,998,2.2
Clark County,MO,Oct-19,3250,3173,77,2.4
Clay County,MO,Oct-19,137455,134032,3423,2.5
Clinton County,MO,Oct-19,10811,10573,238,2.2
Cole County,MO,Oct-19,38999,38212,787,2
Cooper County,MO,Oct-19,7598,7402,196,2.6
Crawford County,MO,Oct-19,11003,10662,341,3.1
Dade County,MO,Oct-19,3627,3532,95,2.6
Dallas County,MO,Oct-19,7197,6880,317,4.4
Daviess County,MO,Oct-19,4248,4139,109,2.6
DeKalb County,MO,Oct-19,4890,4777,113,2.3
Dent County,MO,Oct-19,6376,6174,202,3.2
Douglas County,MO,Oct-19,5104,4897,207,4.1
Dunklin County,MO,Oct-19,11593,11123,470,4.1
Franklin County,MO,Oct-19,53758,52058,1700,3.2
Gasconade County,MO,Oct-19,8083,7650,433,5.4
Gentry County,MO,Oct-19,3576,3492,84,2.3
Greene County,MO,Oct-19,152127,148696,3431,2.3
Grundy County,MO,Oct-19,4477,4367,110,2.5
Harrison County,MO,Oct-19,3883,3777,106,2.7
Henry County,MO,Oct-19,9757,9469,288,3
Hickory County,MO,Oct-19,3946,3809,137,3.5
Holt County,MO,Oct-19,2635,2582,53,2
Howard County,MO,Oct-19,4940,4824,116,2.3
Howell County,MO,Oct-19,16802,16137,665,4
Iron County,MO,Oct-19,3491,3373,118,3.4
Jackson County,MO,Oct-19,365288,353499,11789,3.2
Jasper County,MO,Oct-19,57637,56136,1501,2.6
Jefferson County,MO,Oct-19,118536,115560,2976,2.5
Johnson County,MO,Oct-19,23572,22785,787,3.3
